"",BBEX3.D.RON.EUR.BB.AC.000,BBEX3.D.RON.EUR.BB.AC.000_FLAGS
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,3.5036,
2005-09-06,3.4997,
2005-09-07,3.5005,
2005-09-08,3.4942,
2005-09-09,3.4679,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,3.4950,
2005-09-13,3.4905,
2005-09-14,3.4922,
2005-09-15,3.4807,
2005-09-16,3.4754,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,3.4794,
2005-09-20,3.4852,
2005-09-21,3.4873,
2005-09-22,3.5502,
2005-09-23,3.5549,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,3.5460,
2005-09-27,3.5323,
2005-09-28,3.5446,
2005-09-29,3.5527,
2005-09-30,3.5603,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,3.5522,
2005-10-04,3.5490,
2005-10-05,3.5594,
2005-10-06,3.5752,
2005-10-07,3.6008,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,3.6000,
2005-10-11,3.5872,
2005-10-12,3.5880,
2005-10-13,3.6123,
2005-10-14,3.6139,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,3.6092,
2005-10-18,3.5952,
2005-10-19,3.6062,
2005-10-20,3.6075,
2005-10-21,3.6067,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,3.5977,
2005-10-25,3.6094,
2005-10-26,3.6098,
2005-10-27,3.6175,
2005-10-28,3.6452,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,3.6512,
2005-11-01,3.6643,
2005-11-02,3.6559,
2005-11-03,3.6586,
2005-11-04,3.6623,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,3.6857,
2005-11-08,3.6768,
2005-11-09,3.6660,
2005-11-10,3.6290,
2005-11-11,3.6254,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,3.6389,
2005-11-15,3.6379,
2005-11-16,3.6387,
2005-11-17,3.6357,
2005-11-18,3.6452,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,3.6551,
2005-11-22,3.6642,
2005-11-23,3.6649,
2005-11-24,3.6618,
2005-11-25,3.6653,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,3.6547,
2005-11-29,3.6476,
2005-11-30,3.6598,
2005-12-01,3.6603,
2005-12-02,3.6624,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,3.6515,
2005-12-06,3.6560,
2005-12-07,3.6536,
2005-12-08,3.6480,
2005-12-09,3.6344,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,3.6438,
2005-12-13,3.6426,
2005-12-14,3.6524,
2005-12-15,3.6442,
2005-12-16,3.6569,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,3.6595,
2005-12-20,3.6566,
2005-12-21,3.6619,
2005-12-22,3.6599,
2005-12-23,3.6607,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,.,No value available
2005-12-27,3.6616,
2005-12-28,3.6982,
2005-12-29,3.6915,
2005-12-30,3.6802,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,3.6825,
2006-01-03,3.6717,
2006-01-04,3.6757,
2006-01-05,3.6831,
2006-01-06,3.6843,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,3.6645,
2006-01-10,3.6485,
2006-01-11,3.6285,
2006-01-12,3.6398,
2006-01-13,3.6308,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,3.6352,
2006-01-17,3.6467,
2006-01-18,3.6480,
2006-01-19,3.6417,
2006-01-20,3.6442,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,3.6339,
2006-01-24,3.6269,
2006-01-25,3.6332,
2006-01-26,3.6210,
2006-01-27,3.6216,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,3.6101,
2006-01-31,3.6160,
2006-02-01,3.6138,
2006-02-02,3.6055,
2006-02-03,3.6072,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,3.5982,
2006-02-07,3.5868,
2006-02-08,3.5820,
2006-02-09,3.5502,
2006-02-10,3.5403,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,3.5255,
2006-02-14,3.5303,
2006-02-15,3.5291,
2006-02-16,3.5200,
2006-02-17,3.5076,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,3.5030,
2006-02-21,3.4969,
2006-02-22,3.4975,
2006-02-23,3.5065,
2006-02-24,3.5053,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,3.4995,
2006-02-28,3.4802,
2006-03-01,3.4753,
2006-03-02,3.4782,
2006-03-03,3.4790,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,3.4813,
2006-03-07,3.4909,
2006-03-08,3.4945,
2006-03-09,3.4939,
2006-03-10,3.5040,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,3.5100,
2006-03-14,3.5449,
2006-03-15,3.5178,
2006-03-16,3.5210,
2006-03-17,3.5050,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,3.5075,
2006-03-21,3.5147,
2006-03-22,3.5325,
2006-03-23,3.5076,
2006-03-24,3.5107,
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,3.5112,
2006-03-28,3.5251,
2006-03-29,3.5259,
2006-03-30,3.5201,
2006-03-31,3.5198,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,3.5158,
2006-04-04,3.5182,
2006-04-05,3.5172,
2006-04-06,3.5162,
2006-04-07,3.5090,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,3.5006,
2006-04-11,3.4912,
2006-04-12,3.4896,
2006-04-13,3.4904,
2006-04-14,.,No value available
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,.,No value available
2006-04-18,3.4876,
2006-04-19,3.4802,
2006-04-20,3.4814,
2006-04-21,3.4609,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,3.4651,
2006-04-25,3.4570,
2006-04-26,3.4747,
2006-04-27,3.4750,
2006-04-28,3.4750,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,3.4799,
2006-05-03,3.4641,
2006-05-04,3.4661,
2006-05-05,3.4689,
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,3.4609,
2006-05-09,3.4662,
2006-05-10,3.4664,
2006-05-11,3.4642,
2006-05-12,3.4844,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,3.5436,
2006-05-16,3.5209,
2006-05-17,3.5078,
2006-05-18,3.5330,
2006-05-19,3.5215,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,3.5560,
2006-05-23,3.5458,
2006-05-24,3.5565,
2006-05-25,3.5408,
2006-05-26,3.5250,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,3.5175,
2006-05-30,3.5280,
2006-05-31,3.5400,
2006-06-01,3.5293,
2006-06-02,3.5193,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,3.5284,
2006-06-06,3.5180,
2006-06-07,3.5145,
2006-06-08,3.5235,
2006-06-09,3.5159,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,3.5277,
2006-06-13,3.5379,
2006-06-14,3.5242,
2006-06-15,3.5242,
2006-06-16,3.5249,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,3.5248,
2006-06-20,3.5250,
2006-06-21,3.5855,
2006-06-22,3.5923,
2006-06-23,3.6115,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,3.6335,
2006-06-27,3.5972,
2006-06-28,3.5884,
2006-06-29,3.5863,
2006-06-30,3.5703,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,3.5599,
2006-07-04,3.5586,
2006-07-05,3.5780,
2006-07-06,3.5956,
2006-07-07,3.5836,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,3.5880,
2006-07-11,3.5640,
2006-07-12,3.5743,
2006-07-13,3.5878,
2006-07-14,3.5933,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,3.5991,
2006-07-18,3.5857,
2006-07-19,3.5904,
2006-07-20,3.5628,
2006-07-21,3.5774,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,3.5640,
2006-07-25,3.5445,
2006-07-26,3.5455,
2006-07-27,3.5520,
2006-07-28,3.5520,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,3.5447,
2006-08-01,3.5481,
2006-08-02,3.5386,
2006-08-03,3.5338,
2006-08-04,3.5284,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,3.5144,
2006-08-08,3.5225,
2006-08-09,3.5138,
2006-08-10,3.5149,
2006-08-11,3.5155,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,3.5354,
2006-08-15,3.5288,
2006-08-16,3.5254,
2006-08-17,3.5204,
2006-08-18,3.5267,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,3.5258,
2006-08-22,3.5290,
2006-08-23,3.5294,
2006-08-24,3.5322,
2006-08-25,3.5253,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,3.5224,
2006-08-29,3.5292,
2006-08-30,3.5328,
2006-08-31,3.5297,
2006-09-01,3.5258,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,3.5270,
2006-09-05,3.5249,
2006-09-06,3.5194,
2006-09-07,3.5279,
2006-09-08,3.5220,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,3.5170,
2006-09-12,3.5171,
2006-09-13,3.5024,
2006-09-14,3.5028,
2006-09-15,3.5062,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,3.5272,
2006-09-19,3.5308,
2006-09-20,3.5317,
2006-09-21,3.5305,
2006-09-22,3.5636,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,3.5459,
2006-09-26,3.5422,
2006-09-27,3.5350,
2006-09-28,3.5401,
2006-09-29,3.5362,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,3.5356,
2006-10-03,3.5323,
2006-10-04,3.5368,
2006-10-05,3.5304,
2006-10-06,3.5164,
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,3.5074,
2006-10-10,3.5072,
2006-10-11,3.5055,
2006-10-12,3.5085,
2006-10-13,3.5070,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,3.5011,
2006-10-17,3.5125,
2006-10-18,3.5213,
2006-10-19,3.5171,
2006-10-20,3.5135,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,3.5363,
2006-10-24,3.5370,
2006-10-25,3.5179,
2006-10-26,3.5137,
2006-10-27,3.5205,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,3.5216,
2006-10-31,3.5202,
2006-11-01,3.5125,
2006-11-02,3.5155,
2006-11-03,3.5225,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,3.5158,
2006-11-07,3.5100,
2006-11-08,3.5066,
2006-11-09,3.5055,
2006-11-10,3.5110,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,3.5098,
2006-11-14,3.5045,
2006-11-15,3.4988,
2006-11-16,3.4921,
2006-11-17,3.4902,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,3.4968,
2006-11-21,3.4898,
2006-11-22,3.4983,
2006-11-23,3.4874,
2006-11-24,3.4901,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,3.4776,
2006-11-28,3.4695,
2006-11-29,3.4610,
2006-11-30,3.4349,
2006-12-01,3.4275,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,3.4383,
2006-12-05,3.4415,
2006-12-06,3.4368,
2006-12-07,3.4270,
2006-12-08,3.4294,
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,3.4338,
2006-12-12,3.4294,
2006-12-13,3.4247,
2006-12-14,3.4293,
2006-12-15,3.4264,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,3.4185,
2006-12-19,3.4169,
2006-12-20,3.4029,
2006-12-21,3.3759,
2006-12-22,3.3510,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,.,No value available
2006-12-27,3.3695,
2006-12-28,3.3980,
2006-12-29,3.3835,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,3.3829,
2007-01-03,3.3583,
2007-01-04,3.3733,
2007-01-05,3.3877,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,3.3872,
2007-01-09,3.3836,
2007-01-10,3.4107,
2007-01-11,3.4119,
2007-01-12,3.4069,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,3.3916,
2007-01-16,3.3844,
2007-01-17,3.3984,
2007-01-18,3.3894,
2007-01-19,3.3813,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,3.3793,
2007-01-23,3.3874,
2007-01-24,3.3916,
2007-01-25,3.3926,
2007-01-26,3.4110,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,3.4045,
2007-01-30,3.4090,
2007-01-31,3.4049,
2007-02-01,3.3967,
2007-02-02,3.3850,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,3.3850,
2007-02-06,3.3678,
2007-02-07,3.3697,
2007-02-08,3.3742,
2007-02-09,3.3800,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,3.3961,
2007-02-13,3.3920,
2007-02-14,3.3866,
2007-02-15,3.3790,
2007-02-16,3.3755,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,3.3740,
2007-02-20,3.3816,
2007-02-21,3.3815,
2007-02-22,3.3815,
2007-02-23,3.3764,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,3.3786,
2007-02-27,3.3882,
2007-02-28,3.3975,
2007-03-01,3.3919,
2007-03-02,3.3924,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,3.4000,
2007-03-06,3.3855,
2007-03-07,3.3864,
2007-03-08,3.3770,
2007-03-09,3.3799,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,3.3710,
2007-03-13,3.3750,
2007-03-14,3.3791,
2007-03-15,3.3685,
2007-03-16,3.3644,
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,3.3355,
2007-03-20,3.3380,
2007-03-21,3.3543,
2007-03-22,3.3524,
2007-03-23,3.3630,
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,3.3604,
2007-03-27,3.3618,
2007-03-28,3.3665,
2007-03-29,3.3640,
2007-03-30,3.3547,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,3.3477,
2007-04-03,3.3400,
2007-04-04,3.3345,
2007-04-05,3.3345,
2007-04-06,.,No value available
2007-04-07,.,No value available
2007-04-08,.,No value available
2007-04-09,.,No value available
2007-04-10,3.3400,
2007-04-11,3.3380,
2007-04-12,3.3405,
2007-04-13,3.3452,
2007-04-14,.,No value available
2007-04-15,.,No value available
2007-04-16,3.3320,
2007-04-17,3.3321,
2007-04-18,3.3305,
2007-04-19,3.3370,
2007-04-20,3.3362,
2007-04-21,.,No value available
2007-04-22,.,No value available
2007-04-23,3.3382,
2007-04-24,3.3350,
2007-04-25,3.3315,
2007-04-26,3.3074,
2007-04-27,3.3122,
2007-04-28,.,No value available
2007-04-29,.,No value available
2007-04-30,3.3293,
2007-05-01,.,No value available
2007-05-02,3.3266,
2007-05-03,3.3085,
2007-05-04,3.3175,
2007-05-05,.,No value available
2007-05-06,.,No value available
2007-05-07,3.3120,
2007-05-08,3.3053,
2007-05-09,3.2885,
2007-05-10,3.2844,
2007-05-11,3.2835,
2007-05-12,.,No value available
2007-05-13,.,No value available
2007-05-14,3.2760,
2007-05-15,3.2830,
2007-05-16,3.2776,
2007-05-17,3.2736,
2007-05-18,3.2709,
2007-05-19,.,No value available
2007-05-20,.,No value available
2007-05-21,3.2573,
2007-05-22,3.2735,
2007-05-23,3.2733,
2007-05-24,3.2725,
2007-05-25,3.2724,
2007-05-26,.,No value available
2007-05-27,.,No value available
2007-05-28,3.2697,
2007-05-29,3.2700,
2007-05-30,3.2719,
2007-05-31,3.2716,
2007-06-01,3.2646,
2007-06-02,.,No value available
2007-06-03,.,No value available
2007-06-04,3.2595,
2007-06-05,3.2580,
2007-06-06,3.2668,
2007-06-07,3.2679,
2007-06-08,3.2841,
2007-06-09,.,No value available
2007-06-10,.,No value available
2007-06-11,3.2676,
2007-06-12,3.2604,
2007-06-13,3.2617,
2007-06-14,3.2480,
2007-06-15,3.2366,
2007-06-16,.,No value available
2007-06-17,.,No value available
2007-06-18,3.2140,
2007-06-19,3.2190,
2007-06-20,3.2051,
2007-06-21,3.2036,
2007-06-22,3.1662,
2007-06-23,.,No value available
2007-06-24,.,No value available
2007-06-25,3.1799,
2007-06-26,3.1764,
2007-06-27,3.1695,
2007-06-28,3.1666,
2007-06-29,3.1340,
2007-06-30,.,No value available
2007-07-01,.,No value available
2007-07-02,3.1130,
2007-07-03,3.1254,
2007-07-04,3.1348,
2007-07-05,3.1289,
2007-07-06,3.1188,
2007-07-07,.,No value available
2007-07-08,.,No value available
2007-07-09,3.1250,
2007-07-10,3.1400,
2007-07-11,3.1352,
2007-07-12,3.1380,
2007-07-13,3.1340,
2007-07-14,.,No value available
2007-07-15,.,No value available
2007-07-16,3.1275,
2007-07-17,3.1279,
2007-07-18,3.1281,
2007-07-19,3.1275,
2007-07-20,3.1365,
2007-07-21,.,No value available
2007-07-22,.,No value available
2007-07-23,3.1279,
2007-07-24,3.1198,
2007-07-25,3.1283,
2007-07-26,3.1436,
2007-07-27,3.1699,
2007-07-28,.,No value available
2007-07-29,.,No value available
2007-07-30,3.1702,
2007-07-31,3.1590,
2007-08-01,3.1732,
2007-08-02,3.1745,
2007-08-03,3.1653,
2007-08-04,.,No value available
2007-08-05,.,No value available
2007-08-06,3.1768,
2007-08-07,3.1748,
2007-08-08,3.1674,
2007-08-09,3.1739,
2007-08-10,3.2133,
2007-08-11,.,No value available
2007-08-12,.,No value available
2007-08-13,3.1984,
2007-08-14,3.2021,
2007-08-15,3.2316,
2007-08-16,3.2575,
2007-08-17,3.2769,
2007-08-18,.,No value available
2007-08-19,.,No value available
2007-08-20,3.2588,
2007-08-21,3.2727,
2007-08-22,3.2655,
2007-08-23,3.2509,
2007-08-24,3.2600,
2007-08-25,.,No value available
2007-08-26,.,No value available
2007-08-27,3.2404,
2007-08-28,3.2475,
2007-08-29,3.2550,
2007-08-30,3.2616,
2007-08-31,3.2666,
2007-09-01,.,No value available
2007-09-02,.,No value available
2007-09-03,3.2683,
2007-09-04,3.3042,
2007-09-05,3.3248,
2007-09-06,3.3235,
2007-09-07,3.3032,
2007-09-08,.,No value available
2007-09-09,.,No value available
2007-09-10,3.3130,
2007-09-11,3.3163,
2007-09-12,3.3151,
2007-09-13,3.3265,
2007-09-14,3.3651,
2007-09-15,.,No value available
2007-09-16,.,No value available
2007-09-17,3.3895,
2007-09-18,3.3800,
2007-09-19,3.3722,
2007-09-20,3.3824,
2007-09-21,3.3993,
2007-09-22,.,No value available
2007-09-23,.,No value available
2007-09-24,3.3878,
2007-09-25,3.3923,
2007-09-26,3.3801,
2007-09-27,3.3751,
2007-09-28,3.3441,
2007-09-29,.,No value available
2007-09-30,.,No value available
2007-10-01,3.3565,
2007-10-02,3.3574,
2007-10-03,3.3723,
2007-10-04,3.3760,
2007-10-05,3.3590,
2007-10-06,.,No value available
2007-10-07,.,No value available
2007-10-08,3.3473,
2007-10-09,3.3538,
2007-10-10,3.3270,
2007-10-11,3.3305,
2007-10-12,3.3411,
2007-10-13,.,No value available
2007-10-14,.,No value available
2007-10-15,3.3381,
2007-10-16,3.3513,
2007-10-17,3.3437,
2007-10-18,3.3635,
2007-10-19,3.3614,
2007-10-20,.,No value available
2007-10-21,.,No value available
2007-10-22,3.3980,
2007-10-23,3.3698,
2007-10-24,3.3674,
2007-10-25,3.3465,
2007-10-26,3.3541,
2007-10-27,.,No value available
2007-10-28,.,No value available
2007-10-29,3.3406,
2007-10-30,3.3437,
2007-10-31,3.3360,
2007-11-01,3.3312,
2007-11-02,3.3410,
2007-11-03,.,No value available
2007-11-04,.,No value available
2007-11-05,3.3686,
2007-11-06,3.3760,
2007-11-07,3.4001,
2007-11-08,3.4030,
2007-11-09,3.4122,
2007-11-10,.,No value available
2007-11-11,.,No value available
2007-11-12,3.4451,
2007-11-13,3.4430,
2007-11-14,3.4571,
2007-11-15,3.4580,
2007-11-16,3.4850,
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,3.4825,
2007-11-20,3.4980,
2007-11-21,3.5421,
2007-11-22,3.6405,
2007-11-23,3.5977,
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,3.5852,
2007-11-27,3.5997,
2007-11-28,3.5445,
2007-11-29,3.5290,
2007-11-30,3.4861,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,3.5106,
2007-12-04,3.5569,
2007-12-05,3.5474,
2007-12-06,3.5207,
2007-12-07,3.5115,
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,3.5175,
2007-12-11,3.5196,
2007-12-12,3.5240,
2007-12-13,3.5260,
2007-12-14,3.5503,
2007-12-15,.,No value available
2007-12-16,.,No value available
2007-12-17,3.5549,
2007-12-18,3.5397,
2007-12-19,3.5355,
2007-12-20,3.5190,
2007-12-21,3.4965,
2007-12-22,.,No value available
2007-12-23,.,No value available
2007-12-24,3.4815,
2007-12-25,.,No value available
2007-12-26,.,No value available
2007-12-27,3.5388,
2007-12-28,3.6083,
2007-12-29,.,No value available
2007-12-30,.,No value available
2007-12-31,3.6077,
2008-01-01,.,No value available
2008-01-02,3.5830,
2008-01-03,3.6060,
2008-01-04,3.5775,
2008-01-05,.,No value available
2008-01-06,.,No value available
2008-01-07,3.5955,
2008-01-08,3.5914,
2008-01-09,3.6525,
2008-01-10,3.6800,
2008-01-11,3.6789,
2008-01-12,.,No value available
2008-01-13,.,No value available
2008-01-14,3.7144,
2008-01-15,3.7049,
2008-01-16,3.7155,
2008-01-17,3.6860,
2008-01-18,3.6749,
2008-01-19,.,No value available
2008-01-20,.,No value available
2008-01-21,3.7350,
2008-01-22,3.7813,
2008-01-23,3.7735,
2008-01-24,3.7576,
2008-01-25,3.8250,
2008-01-26,.,No value available
2008-01-27,.,No value available
2008-01-28,3.7655,
2008-01-29,3.7350,
2008-01-30,3.7105,
2008-01-31,3.7170,
2008-02-01,3.6705,
2008-02-02,.,No value available
2008-02-03,.,No value available
2008-02-04,3.6347,
2008-02-05,3.6335,
2008-02-06,3.6610,
2008-02-07,3.6785,
2008-02-08,3.6725,
2008-02-09,.,No value available
2008-02-10,.,No value available
2008-02-11,3.6540,
2008-02-12,3.6290,
2008-02-13,3.6410,
2008-02-14,3.6491,
2008-02-15,3.6445,
2008-02-16,.,No value available
2008-02-17,.,No value available
2008-02-18,3.6420,
2008-02-19,3.6353,
2008-02-20,3.6556,
2008-02-21,3.6533,
2008-02-22,3.6674,
2008-02-23,.,No value available
2008-02-24,.,No value available
2008-02-25,3.6560,
2008-02-26,3.6430,
2008-02-27,3.6498,
2008-02-28,3.6665,
2008-02-29,3.7330,
2008-03-01,.,No value available
2008-03-02,.,No value available
2008-03-03,3.7474,
2008-03-04,3.7288,
2008-03-05,3.7185,
2008-03-06,3.6929,
2008-03-07,3.7335,
2008-03-08,.,No value available
2008-03-09,.,No value available
2008-03-10,3.7129,
2008-03-11,3.6919,
2008-03-12,3.6940,
2008-03-13,3.7140,
2008-03-14,3.6986,
2008-03-15,.,No value available
2008-03-16,.,No value available
2008-03-17,3.7538,
2008-03-18,3.7285,
2008-03-19,3.7250,
2008-03-20,3.7310,
2008-03-21,.,No value available
2008-03-22,.,No value available
2008-03-23,.,No value available
2008-03-24,.,No value available
2008-03-25,3.7165,
2008-03-26,3.7175,
2008-03-27,3.7165,
2008-03-28,3.7212,
2008-03-29,.,No value available
2008-03-30,.,No value available
2008-03-31,3.7268,
2008-04-01,3.7310,
2008-04-02,3.7136,
2008-04-03,3.7103,
2008-04-04,3.7145,
2008-04-05,.,No value available
2008-04-06,.,No value available
2008-04-07,3.6808,
2008-04-08,3.6710,
2008-04-09,3.6695,
2008-04-10,3.6678,
2008-04-11,3.6290,
2008-04-12,.,No value available
2008-04-13,.,No value available
2008-04-14,3.6266,
2008-04-15,3.6213,
2008-04-16,3.6278,
2008-04-17,3.6118,
2008-04-18,3.5708,
2008-04-19,.,No value available
2008-04-20,.,No value available
2008-04-21,3.5621,
2008-04-22,3.5570,
2008-04-23,3.5780,
2008-04-24,3.5920,
2008-04-25,3.6195,
2008-04-26,.,No value available
2008-04-27,.,No value available
2008-04-28,3.6228,
2008-04-29,3.6856,
2008-04-30,3.6790,
2008-05-01,.,No value available
2008-05-02,3.6395,
2008-05-03,.,No value available
2008-05-04,.,No value available
2008-05-05,3.6350,
2008-05-06,3.6575,
2008-05-07,3.6588,
2008-05-08,3.6873,
2008-05-09,3.6940,
2008-05-10,.,No value available
2008-05-11,.,No value available
2008-05-12,3.6811,
2008-05-13,3.6540,
2008-05-14,3.6671,
